pocket|la tasca|287|1.88
the odd numbers|i numeri dispari|67|2.00
beautiful experience|bella esperienza|14|1.34
lovely show|bello spettacolo|23|1.30
that beautiful film|quel bel film|9|1.30
that example|quell'esempio|27|1.72
those shows|quegli spettacoli|6|2.00
fine examples|begli esempi|6|2.00
the pacifist ideas|le idee pacifiste|76|2.00
the rooms|le stanze|271|2.28
the new stadiums|gli stadi nuovi|89|2.00
the pacifist idea|l'idea pacifista|81|2.00
that song|quella canzone|29|1.44
beautiful songs|belle canzoni|6|2.00
lies|le bugie|297|2.50
beautiful films|bei film|15|1.72
these boys|questi ragazzi|42|1.62
the French referees|gli arbitri francesi|85|2.00
the Belgian girls|le ragazze belghe|69|2.00
the big stadium|lo stadio grande|91|2.00
Anna and Claudia are Italian.|Anna e Claudia sono italiane.|60|2.00
park|il parco|305|2.28
city|la città |331|2.50
hypothesis|l'ipotesi|332|2.28
Lorenzo is Italian.|Lorenzo è italiano.|100|1.70
the French referee|l'arbitro francese|25|1.40
that boy|quel ragazzo|43|1.30
the sense|il senso|230|1.78
(male) pianists|i pianisti|326|2.28
the man|l'uomo|285|2.50
those boys|quei ragazzi|166|1.54
Anna is Italian.|Anna è italiana.|104|1.86
problems|i problemi|327|2.28
bicycle|la bicicletta|342|2.50
this boy|questo ragazzo|65|1.78
those girls|quelle ragazze|41|1.40
the Belgian boys|i ragazzi belgi|85|2.00
idiotic|idiota|132|2.02
this girl|questa ragazza|59|1.38
the Italian referees|gli arbitri italiani|115|2.00
the experience|l'esperienza|284|2.28
those experiences|quelle esperienze|6|2.00
the girl|la ragazza|295|2.50
the poor woman [i.e. she has no money]|la donna povera|69|1.94
the poor [i.e. unfortunate] woman|la povera donna|63|1.62
optimistic|ottimista|139|1.86
the French waitresses|le cameriere francesi|90|2.00
shirt/blouse|la camicia|289|2.10
lakes|i laghi|315|2.50
Doctor Marchi is busy.|Il Dottor Marchi è occupato.|174|1.48
the blue pen|la penna blu|117|1.70
those beautiful films|quei bei film|6|2.00
cherries|le ciliegie|281|1.96
an old/elderly friend [i.e. a friend who is old]|un amico vecchio|74|1.62
Luisa and her brothers|Luisa e i suoi fratelli|6|2.00
restaurant|il ristorante|345|2.50
beaches|le spiagge|274|2.06
an old [i.e. long-standing] friend|un vecchio amico|77|1.62
surname|il cognome|341|2.28
Lorenzo, Anna and Claudia are Italian.|Lorenzo, Anna e Claudia sono italiani.|83|1.78
analyses|le analisi|332|2.28
I have got a cold.|Ho il raffreddore.|182|1.68
Where do you normally spend your holidays?|Dove passi le vacanze di solito?|139|2.00
the ion|lo ione|257|2.10
lines, rulers|le righe|313|2.06
Who(m) are you writing to?|A chi scrivete?|328|1.78
(female) pianist|la pianista|339|2.50
the new house|la casa nuova|111|2.00
radio|la radio|339|2.50
station|la stazione|345|2.50
pacifist|pacifista|153|2.02
the strike|lo sciopero|282|2.28
Carlo and his sisters|Carlo e le sue sorelle|6|2.00
salt|il sale|346|2.50
Livia and her (male) friend|Livia e il suo amico|6|2.00
the Belgian boy|il ragazzo belga|107|2.00
the French waitress|la cameriera francese|106|2.00
The trousers and the shirt are new.|I pantaloni e la camicia sono nuovi.|86|1.78
Ettore and his (female) friend|Ettore e la sua amica|6|2.00
my letter|la mia lettera|6|2.00
the houses|le case|301|2.28
your books|i tuoi libri|6|2.00
woman|la donna|349|2.28
the big house|la casa grande|157|1.86
an article|un articolo|245|2.12
(male) friends|gli amici|332|2.50
Lorenzo and Vittorio are Italian.|Lorenzo e Vittorio sono italiani.|106|1.78
the car|l'auto|314|2.50
the (male) teacher|l'insegnante|250|1.96
the Italian referee|l'arbitro italiano|115|2.00
the ions|gli ioni|295|2.50
our school|la nostra scuola|6|2.00
We're going to the theatre this evening.|Stasera andiamo a teatro.|145|2.00
doctor|il medico|335|2.50
the articles|gli articoli|294|2.28
the big houses|le case grandi|138|1.32
finger|il dito|336|2.10
the shows|gli spettacoli|302|2.50
the even pages|le pagine pari|113|1.78
the bar|il bar|314|2.50
your ideas|le vostre idee|6|2.00
their room|la loro stanza|6|2.00
their parents|i loro genitori|6|2.00
the pink garment/dress/suit|il vestito rosa|109|1.78
kisses|i baci|350|2.28
the Belgian girl|la ragazza belga|120|1.78
my father|mio padre|6|2.00
your mother|tua madre|6|2.00
your brother|tuo fratello|6|2.00
We're going to the mountains.|Andiamo in montagna.|151|2.00
Belgian|belga|164|1.70
murmur|il mormorio|350|2.10
Antonio has a long nose.|Antonio ha il naso lungo.|195|1.62
his/her aunt|sua zia|6|2.00
the pacifist rally|il corteo pacifista|115|1.46
French|francese|200|2.18
Belgium|il Belgio|352|2.10
the hotel|l'hotel|290|2.06
Doctor Vanni isn't here.|La Dottoressa Vanni non c'è.|180|1.46
Holidays are always too short.|Le vacanze sono sempre troppo corte.|198|1.42
the article|l'articolo|313|2.28
lake|il lago|347|2.50
a Juventus fan|uno juventino|259|2.18
enthusiastic|entusiasta|182|2.18
pharmacies|le farmacie|329|2.28
the experiences|le esperienze|315|2.28
the bars|i bar|316|2.50
your brothers|i tuoi fratelli [pl.]|6|2.00
the gnomes|gli gnomi|316|2.50
his/her aunts|le sue zie [pl.]|6|2.00
their father|il loro padre|6|2.00
La Sua auto è pronta, Signora Ferrero.|Your car's ready, Mrs Ferrero.|6|2.00
the cars|le auto|332|2.50
the (female) teacher|l'insegnante|298|2.50
In the afternoon I do my homework.|Di pomeriggio faccio il compito.|163|2.00
Cars pollute the environment.|Le auto inquinano l'ambiente.|194|1.46
the big stadiums|gli stadi grandi|143|1.94
the (female) colleagues|le colleghe|306|2.50
the last house|l'ultima casa|226|2.18
Here are your books(, Sir).|Ecco i Suoi libri, Signore.|6|2.00
hand|la mano|362|2.28
shirts/blouses|le camicie|151|1.64
a house|una casa|297|2.50
the girls|le ragazze|329|2.50
(Mr and Mrs Bianco,) your room is ready.|Signori Bianco, la Vostra stanza è pronta.|6|2.00
that film|quel film|224|1.86
an excellent house|un'ottima casa|230|2.18
the pacifist rallies|i cortei pacifisti|149|2.10
relatives|i/le parenti|356|2.06
