to rest|riposare|16|1.60
to belong|appartenere|5|1.30
to forgive|perdonare|6|1.40
to guess|indovinare|5|1.30
to weaken|indebolire|17|1.60
to sleep|dormire|56|2.30
to bend|piegare|18|1.50
to blow|soffiare|7|1.40
to bite|mordere|28|1.70
to be hot|avere caldo|18|1.60
to be sick|stare male|59|2.30
to smell|annusare/sentire odore|23|1.70
to maintain|mantenere|22|1.70
to dissolve|sciogliere|27|1.70
to nail|inchiodare|28|1.70
to be sick|sentirsi male|39|1.80
to arrange|ordinare|316|2.50
to alert|avvertire|141|2.00
to neglect|trascurare|21|1.70
to swallow|ingoiare|44|1.80
to blame|biasimare|32|1.80
to decide|decidere|329|2.50
to wait for/to attend|attendere|24|1.70
to distract|distrarre|61|1.90
to succeed|riuscire|25|1.70
to scare|spaventare|88|1.90
to hurry up|affrettarsi|55|1.80
to express|esprimere|28|1.70
to believe|credere|327|2.50
to teach|insegnare|47|1.80
to want|volere|330|2.50
to give in|cedere|45|1.80
to avoid|evitare|63|1.90
to be cold|avere freddo|44|1.80
to slide|scivolare|46|1.80
to visit|visitare|310|2.50
to chat|ciarlare|99|1.90
to speed up|accelerare|6|2.00
to understand|capire|54|2.30
to expose|esporre|265|2.10
to water|innaffiare|197|1.70
to meet (someone)|incontrare|143|2.00
to go down/to descend|scendere|140|2.40
to drink|bere|275|2.50
to rent|affittare|56|2.30
to spell|scriversi|225|2.00
to buy|comprare|328|2.50
to practice|praticare|321|2.50
to go for a walk|fare una passeggiata|59|2.30
to establish|stabilire|6|2.00
to worry|preoccuparsi|226|2.18
to face|affrontare|312|2.10
to deserve|meritare|56|2.30
to go down|scendere|315|2.50
to warn|avvertire|133|2.40
to load|caricare|144|2.40
to thank|ringraziare|58|2.30
to reproach|rimproverare|162|1.30
to camp|fare campeggio|250|2.06
to erase|cancellare|62|2.30
to insist|insistere|318|2.50
to think/to plan|pensare|126|2.40
to adapt|adattare|75|1.90
to construct/to build|costruire|295|1.86
to get old|invecchiare|66|1.90
to fill|riempire|74|1.90
to prepare|preparare|294|2.50
to convene|convenire|6|2.00
to chat|chiacchierare|153|1.40
to go|andare|311|2.50
to desire|desiderare|320|2.50
to hear|sentire|103|1.96
to follow|seguire|189|2.06
to attract|attirare|180|2.00
to brush|spazzolare|138|2.00
to lend|prestare|291|2.10
to go camping|andare in campeggio|136|2.40
to get angry|arrabbiarsi/innervosirsi|154|2.00
to demand|esigere|104|2.00
to lie down|distendersi|129|2.00
to turn on|accendere|248|1.86
to win|vincere|88|1.76
to touch|toccare|129|2.40
to bring|portare|316|2.50
to create|creare|6|2.00
to ache/to hurt|fare male|169|2.00
to allow|permettere|323|2.50
to paint|dipengere/dipingere|185|2.00
to ride a bicycle|andare in bici|248|2.10
to disturb|disturbare|127|2.40
to check|verificare|124|2.40
to feel like/to want to|avere voglia di|140|2.40
to occupy|occupare|138|2.40
to imitate|imitare|319|2.50
to repeat|ripetere|335|2.50
to bleed|pesanguinare|150|1.68
to have fun|divertirsi|6|2.00
to escape|scappare|182|2.00
to stack|ammuncchiare|263|1.46
to go to|andare a|323|2.50
to ring|squillare|6|2.00
to write|scrivere|6|2.00
to invade|invadere|174|2.00
to close|chiudere|314|2.50
to need|aver bisogno|299|2.50
to frighten|spaventare|6|2.00
to cancel|cancellare|6|2.00
to play (an instrument)|suonare|144|2.40
to retain|ritenere|6|2.00
to correct|correggere|136|2.40
to authorize|autorizzare|6|2.00
to scratch|graffiare|286|2.10
to know (a person)|conoscere|130|2.40
to participate|partecipare|315|2.50
to put on|mettersi|172|2.00
to reserve|riservare|6|2.00
to happen/to succeed|succedere|309|2.10
to build|costruire|297|2.50
to dare|osare|162|2.00
to take advantage|approfittare|176|2.00
to keep|tenere|316|2.50
to go on|continuare|126|2.40
to accompany|accompagnare|6|2.00
to disobey|disobbedire|317|2.10
to sharpen|affilare|246|2.10
to enter|entrare|343|2.50
to lift|sollevare|6|2.00
to shave|rasarsi|335|2.50
to admire|ammirare|168|2.00
to lose|perdere|337|2.50
to hold|tenere|286|2.50
to leave (a place)|partire|293|2.50
to receive|ricevere|6|2.00
to fish|pescare|312|2.50
to work|lavorare|313|2.50
to hang (up)|appendere|6|2.00
to dream (of)|sognare|315|2.50
to send|inviare/mandare|334|2.10
to pull|tirare|140|2.40
to polish|lucidare|6|2.00
to yell/to scream|urlare|344|2.50
to forget|dimenticare|342|2.50
to fly|volare|333|2.50
to sign|firmare|301|2.50
to confirm|confermare|293|2.50
to need|avere bisogno di|307|2.50
to digest|digerire|247|1.68
to take notes|prendere appunti|167|2.00
to inherit|ereditare|272|2.18
to know how|sapere|319|2.50
to dive|tuffarsi|211|2.00
to defend|difendere|152|2.40
to tie|legare|189|2.00
to sing|cantare|317|2.50
to hang up|riagganciare|235|1.46
to modify|modificare|303|2.50
to search for|cercare|312|2.50
to import|importare|181|2.00
to hunt|cacciare|196|2.00
to contain|contenere|251|2.18
to exaggerate|esagerare|194|1.90
to go down|andare giù|237|1.46
to climb/to go up|salire|345|2.50
to put|mettere|6|2.00
to pay|pagare|299|2.50
to ski|sciare|315|2.50
to kill|uccidere|188|2.00
to welcome|accogliere|6|2.00
to cross|attraversare|6|2.00
to save|risparmiare|318|1.68
to miss|sentire la mancanza|6|2.00
to balance|bilanciare|6|2.00
to tear|strappare|338|2.10
to wrap|avvolgere|237|2.10
to shout|gridare|279|2.10
to cash (a cheque)|incassare un assegno|340|2.10
to like|piacere|307|2.50
to grind|macinare|252|1.46
to be able|potere|347|2.50
to shine|brillare|354|2.50
to carry|portare|326|2.50
to lose|perdere|343|2.50
to go to the hospital|andare all'ospedale|352|2.50
to travel|viaggiare|347|2.50
to publish|pubblicare|6|2.00
to telephone|telefonare|296|2.50
to cheat|ingannare|236|2.10
to print|stampare|336|2.50
to press|premere|330|2.10
to pick up|raccogliere|295|2.10
to fall|cadere|340|2.50
to hope|sperare|324|2.50
to throw|gettare|314|2.50
to burn|bruciare|311|2.10
to change|cambiare|341|2.50
to dance|ballare|336|2.50
to regret|rimpiangere|198|2.00
to whisper|mormorare|6|2.00
to snow|nevicare|354|2.50
to adore|adorare|336|2.50
to eat|mangiare|356|2.50
to obtain|ottenere|326|2.50
to awake|svegliare|352|2.50
to take|prendere|334|2.50
to be right|avere ragione|304|2.10
to return (an object)|restituire|352|2.10
to use|usare/utilizzare|332|2.50
to land|atterrare|6|2.00
to mix|mescolare|299|2.50
to take out/to take away|togliere|6|2.00
to ignore|ignorare|348|2.50
to live|vivere|6|2.00
to count|contare|6|2.00
to serve|servire|322|2.50
to celebrate|celebrare|323|2.50
to ask/to question|domandare|325|2.50
to speak|parlare|357|2.50
to hide|nascondere|6|2.00
to number|numerare|6|2.00
to punish|punire|6|2.00
to call back|richiamare|359|2.10
to hope|sperare|325|2.50
to agitate|agitare|338|2.50
to advise|avvisare|6|2.00
to be afraid|avere paura|279|1.50
to leave (something)|lasciare|343|2.50
to spend (time)|passare|361|2.50
to bark|abbaiare|6|2.00
to pass by|passare|324|2.50
to prefer|preferire|333|2.50
to have a cold|essere raffreddati|275|2.10
to go out/to exit/to leave (a situation)|uscire|310|2.50
to walk/to go on foot|andare a piedi|324|2.50
to spoil|guastare|328|2.10
to go up|salire|299|2.50
to be X years old|avere X anni|286|2.50
to live/to inhabit|abitare|302|2.50
to work (things)/to function|funzionare|351|2.50
to cough|tossire|6|2.00
to exchange|scambiare|328|2.50
to spend (money)|spendere|293|2.50
to boil|bollire|347|2.50
to be thirsty|avere sete|284|2.50
to obey|obbedire|296|2.50
to introduce to|presentare|358|2.50
to protect|proteggere|342|2.50
to congratulate|congratularsi|6|2.00
to weigh|pesare|305|2.10
to get married|sposarsi|344|2.50
to take a walk|fare una passeggiata|331|2.50
to dial a number|comporre il numero|341|2.10
to increase|accrescere|6|2.00
to delete/to erase|cancellare|345|2.50
to communicate|comunicare|317|2.50
to deliver|consegnare|6|2.00
