Legend tells us of an extraordinary leader|La leggenda ci racconta di un leader straordinario|5|1.30
In the kingdoms of Wessex, Sussex, and Essex, plague.|Nei regni di Wessex, Sussex ed Essex, peste.|5|1.30
coming out of the northeast in the late afternoon.|in arrivo sul Nord-Est nel tardo pomeriggio.|6|1.40
In Mercia, and in the two Anglias, plague,|In Mercia, e nelle due Anglie, peste,|7|1.40
Above, no one but Celts and a some people from Scotland.|Sopra, niente ma Celti e alcune persone dalla Scozia.|8|1.40
In Guinard, Palace e Difford, plague.|A Guinard, Palace e Difford, peste.|9|1.78
who arose from the chaos to unite a troubled kingdom |che emerse dal caos per unire un regno agitato|6|2.00
England. 932 A.D. A kingdom divided.|Inghilterra, 932 d.C. Un regno diviso.|9|1.50
with un 50% chance of pestilence and famine|con un 50% di possibilità di pestilenza e una carestia|8|1.50
A man with a vision,|Un uomo con una visione,|6|2.00
who gathered the knights together in a holy quest.|che raccolse dei cavalieri insieme in una Sacra Ricerca.|6|2.00
This man was Arthur, King of the Britons|Quest'uomo fu Artù, Re dei Britanni,|6|2.00
for this was England!|per questo fu l'Inghilterra!|6|2.00
Finland, Finland, Finland|Finlandia, Finlandia, Finlandia|6|2.00
That's the country for me!|Quello è il paese per me!|6|2.00
To the west, the Anglo-Saxons.|A ovest, gli Anglo-Sassoni.|16|1.88
To the east, the French|Dall Est, i Franchi|16|1.88
Finland is the country where we dance|La Finlandia è il paese dove noi balliamo|6|2.00
Finland is the country where we play|La Finlandia è il paese dove noi suoniamo|6|2.00
Here in Finland boys and girls can find a true romance in the traditional scandinavian way|Qui in Finlandia ragazzi e ragazze possono travare un vero amore nella maniera tradizionale scandinava!|6|2.00
Slip! Slap!|Scivolone! Schiaffo!|6|2.00
Slip and slap away! (bad translation)|Il sistema dello scivolone e dello schiaffo|6|2.00
You simply can't go wrong|Semplicemente non puoi sbagliare|6|2.00
in the traditional fish-slapping song.|con la tradizionale canzone dei pesci schiaffeggianti.|6|2.00
Slap away all day.|Schiaffeggia via tutto il giorno|6|2.00
The country where I want to be (to live)|Il paese dove voglio vivere|6|2.00
