Did you hear that?|Hai sentito quel rumore?|18|1.6
They shut down the main reactor.|Hanno disattivato il reattore.|5|1.3
We'll be destroyed for sure.|Stiamo per essere annientati.|5|1.3
This is madness.|Che follia.|23|1.6
We're doomed.|Siamo perduti.|21|1.7
There'll be no escape for the princess this time.|Questa volta la principessa non avrà scampo.|23|1.6
What's that?|Cos'è quel rumore?|19|1.6
R2-D2, where are you?|R2-D2, dove sei?|35|2.0
At last. Where have you been?|Finalmente. Dove sei stato?|21|1.5
What are we going to do?|Cosa possiamo fare?|22|1.7
They're heading in this direction.|Sono diretti da questa parte.|22|1.7
We'll be sent to the Kessel spice mines or smashed into who knows what.|Finiremo nelle miniere di Kessel o riciclati chissà come.|6|2.0
Wait a minute. Where are you going?|Aspetta. Dove vai?|23|1.7
The Death Star plans are not in the main computer.|I piani della Morte Nera non sono nel computer principale.|18|1.6
Where are those transmissions you intercepted?|Dove sono le trasmissioni che avete intercettato?|15|1.5
What have you done with those plans?|Che ne avete fatto di quei piani?|6|2.0
We intercepted no transmissions.|Non abbiamo intercettato alcuna trasmissione.|16|1.6
This is a consular ship.|Questa è una nave consolare.|13|1.6
We're on a diplomatic mission.|La nostra missione è diplomatica.|13|1.6
If this is a consular ship, where is the ambassador?|Se questa è una nave consolare, dov'è l'ambasciatore?|8|1.4
Commander, tear this ship apart until you've found those plans!|Comandante, faccia a pezzi la nave e trovi quei piani!|10|1.5
And bring me the passengers!|E mi porti i passeggeri!|6|1.3
I want them alive!|E mi porti i passeggeri!|6|1.3
There's one. Set for stun.|Eccone una. Dobbiamo stordirla.|6|2.0
She'll be all right.|Se la caverà.|6|2.0
Inform Lord Vader we have a prisoner.|Informate Lord Fener che abbiamo un prigioniero.|6|2.0
Hey, you're not permitted in there. It's restricted.|Non puoi entrare lì dentro. È vietato.|6|2.0
You'll be deactivated for sure.|Ti disattiveranno di sicuro.|6|2.0
Don't call me a mindless philosopher, you overweight glob of grease.|E non darmi del filosofo scemo, bioccolo di grasso che non sei altro.|6|2.0
Come out, before somebody sees you.|Vieni fuori prima che ti vedano.|6|2.0
Secret mission? What plans?|Missione segreta? Quali piani?|6|2.0
What are you talking about? I'm not getting in there.|Di che stai parlando? Io lì dentro non ci vengo.|6|2.0
I'm going to regret this.|So che me ne pentirò.|6|2.0
There goes another one.|Eccone un altro.|6|2.0
Hold your fire.|Non sparo.|6|2.0
There's no life forms.|Non ci sono forme di vita.|6|2.0
It must have short-circuited.|Dev'essere stato un corto circuito.|6|2.0
That's funny. The damage doesn't look as bad from out here.|Che buffo. I danni non sembrano gravi, visti da qua fuori.|6|2.0
Are you sure this thing is safe?|Sei sicuro che non sia pericoloso?|6|2.0
Darth Vader, Only you could be so bold.|Dart Fener, Solo tu potevi essere tanto sfacciato.|6|2.0
The Imperial Senate will not sit still for this.|Il Senato Imperiale non tollererà questo attacco.|6|2.0
You've attacked a diplomatic...|Avete attaccato una missione diplo...|6|2.0
Don't act so surprised, Your Highness.|Non fingetevi sorpresa, Altezza.|6|2.0
You weren't on any mercy mission this time.|Questa non è certo una missione caritatevole.|6|2.0
Several transmissions were beamed to this ship by rebel spies.|Questa nave ha ricevuto varie trasmissioni da spie ribelli.|6|2.0
I want to know what happened to the plans they sent you.|Voglio sapere dove sono finiti i piani che vi hanno trasmesso.|6|2.0
I don't know what you're talking about.|Non so di cosa parli.|6|2.0
I'm a member of the Imperial Senate on a diplomatic mission to Alderaan.|Sono un membro del Senato Imperiale in missione diplomatica ad Alderaan.|6|2.0
You are part of the Rebel Alliance and a traitor.|Fate parte dell'Alleanza Ribelle e siete una traditrice.|6|2.0
Take her away!|Portatela via!|6|2.0
Holding her is dangerous. If word gets out...|Tenerla prigioniera è pericoloso. Se si sparge la voce...|6|2.0
it could generate sympathy for the rebellion in the senate.|potrebbe nascere una simpatia per la Ribellione al senato.|6|2.0
I have traced the rebel spies to her.|So che è in contatto con le spie ribelli.|6|2.0
Now she is my only link to finding their secret base.|È l'unica speranza che abbiamo di trovare la loro base segreta.|6|2.0
She'll die before she'll tell you anything.|Morirebbe prima di confessare.|6|2.0
Leave that to me.|Per questo lasci fare a me.|6|2.0
