an owner|un proprietario|6|1.30
the lake|il lago|6|2.00
the ball|la palla/il pallone|9|1.56
an acquaintance|una conoscenza|13|1.60
the sunset|il tramonto|6|1.40
the lipstick|il rossetto|6|1.30
the paragraph|il paragrafo|13|1.60
the saucer|il piattino|6|2.00
the tunnel|il tunnel|6|2.00
an entertainment|un intrattenimento|15|1.60
the distance|la distanza|12|2.10
the bachelor|lo scapolo|6|2.00
the air|l'aria|12|2.10
an ink|un inchiostro|15|1.60
the playing cards|le carte da gioco|14|1.60
an employer|un datore di lavoro|16|1.60
the sweater|il maglione|6|2.00
the music|la musica|6|2.00
the cashier|il cassiere/la cassiera|18|1.60
the doll|la bambola|6|2.00
an arm|un braccio|24|2.20
the lawyer|l'avvocato|23|2.20
the candy|la caramella|24|2.20
the bone|l'osso|24|2.20
the clock|l'orologio a pendolo|6|2.00
the mood|l'umore (m)|6|2.00
the library|la biblioteca|26|2.20
the turn (curve)|la curva|6|2.00
an attorney|un legale|6|2.00
the finger|il dito|6|2.00
the note|la nota|6|2.00
the beer|la birra|6|2.00
the anger|la rabbia|6|2.00
the scarf|la sciarpa|6|2.00
the information|l'informazione|6|2.00
the citizen|il cittadina/la cittadina|6|2.00
the symphony|la sinfonia|6|2.00
an oven|un forno|6|2.00
the bicycle|la bicicletta|6|2.00
the museum|il museo|6|2.00
an intermission|un intervallo|6|2.00
the scale (balance)|la bilancia|6|2.00
an answer|una risposta|6|2.00
the rose|la rosa|6|2.00
the lecture|la conferenza|6|2.00
the bathtub|la vasca da bagno|6|2.00
the stewardess|la hostess|6|2.00
the turkey|il tacchino|6|2.00
the package|il pacchetto|6|2.00
an address|un indirizzo|6|2.00
the traveler's check|il traveler check|6|2.00
the parent|il genitore|6|2.00
the definition|la definizione|6|2.00
the zoo|lo zoo|6|2.00
the license|la licenza|6|2.00
the sample|il campione|6|2.00
the divorce|il divorzio|6|2.00
the chest of drawers|il comò|6|2.00
the sight/the view|la vista|6|2.00
the delivery|la consegna|6|2.00
the wedding|le nozze|6|2.00
the security|la sicurezza|6|2.00
an accountant/bookkeeper|un contabile/un ragioniere|6|2.00
the workshop|l'officina|6|2.00
the duty-free shop|il negozio "duty free"|6|2.00
the sale|la vendita|6|2.00
the waitress|la cameriera|6|2.00
the chest (body)|il petto|6|2.00
the slang|il gergo|6|2.00
an era/a period|un'epoca/un periodo|6|2.00
the pavement|il selciato|6|2.00
the shower|la doccia|6|2.00
the beginning|il principio|6|2.00
the sister-in-law|la cognata|6|2.00
the grapes|l'uva|6|2.00
the stockings|le calze|6|2.00
the customer|il cliente/la clienta|6|2.00
the telephone booth|la cabina telefonica|6|2.00
the haircut|il taglio di capelli|6|2.00
the world|il mondo|6|2.00
an aspirine|un'asperina|6|2.00
the farm|la fattoria|6|2.00
the symbol|il simbolo|6|2.00
the business card|il biglietto da visita|6|2.00
the baggage check|lo scrontrino del bagaglio|6|2.00
the table|il tavolo|6|2.00
the sausage|la salsiccia|6|2.00
the valley|la valle|6|2.00
the descent|la discesa|6|2.00
the wages|il salario|6|2.00
the month|il mese|6|2.00
the minimum|il minimo|6|2.00
the bump|il bernoccolo|6|2.00
the direction|la direzione|6|2.00
the bottom|il fondo|6|2.00
the shelf|la mensola|6|2.00
the drink|la bevanda/il drink|6|2.00
the barn|il granaio|6|2.00
the passenger|il passeggero|6|2.00
the zipper|la chiusura lampo|6|2.00
the department|il reparto|6|2.00
the sex|il seso|6|2.00
an exhibition|un'esposizione|6|2.00
the wind|il vento|6|2.00
the bathing suit|il costume da bagno|6|2.00
the sauce|la salsa|6|2.00
the wall|il muro/la parete|6|2.00
the delay|il ritardo|6|2.00
the magnitude|la grandezza|6|2.00
